iter	Logloss
0	0.6436320133
1	0.5944852418
2	0.5517841511
3	0.5090485157
4	0.4771788842
5	0.4417813574
6	0.410257435
7	0.3816095016
8	0.3538014058
9	0.3337494915
10	0.313694713
11	0.2957860614
12	0.2824687621
13	0.266690289
14	0.2527642801
15	0.2390446836
16	0.2256920092
17	0.2180037852
18	0.2064839516
19	0.197521555
20	0.1894277769
21	0.1817799157
22	0.1753970587
23	0.1686593793
24	0.1625282058
25	0.1564801578
26	0.1518606081
27	0.1470061694
28	0.1433373096
29	0.1406322589
30	0.1365919115
31	0.132779098
32	0.1303468208
33	0.1274241272
34	0.124176388
35	0.1215200182
36	0.1194533838
37	0.1167071102
38	0.114237545
39	0.1116526759
40	0.1095183826
41	0.1072966201
42	0.1056125196
43	0.1041765985
44	0.1022378819
45	0.1003707099
46	0.09870949714
47	0.09702879122
48	0.09560572597
49	0.09419651075
50	0.09282807638
51	0.09171793775
52	0.09042712001
53	0.08913378202
54	0.08840018408
55	0.0874904648
56	0.08659287956
57	0.08571700712
58	0.08452955505
59	0.08349903132
60	0.0825827081
61	0.08165819409
62	0.08071929865
63	0.07985977838
64	0.07937597591
65	0.07866134066
66	0.07789822046
67	0.07713903141
68	0.07654208202
69	0.07581856587
70	0.07504173138
71	0.07426299512
72	0.07366229845
73	0.07275511151
74	0.07203054295
75	0.07145949862
76	0.07084416154
77	0.07039416397
78	0.06974217391
79	0.06925488315
80	0.06842228889
81	0.06792715795
82	0.06749260311
83	0.06694458402
84	0.06638899586
85	0.06592350653
86	0.06527588946
87	0.06472893193
88	0.06433907249
89	0.06407776589
90	0.06378775496
91	0.0633717187
92	0.06302078789
93	0.06266242764
94	0.06240020595
95	0.06193145161
96	0.0614832812
97	0.06097018465
98	0.06067762459
99	0.06028251714
100	0.05993952139
101	0.05957247036
102	0.05927908568
103	0.05890855789
104	0.05885722965
105	0.05842147182
106	0.05782072038
107	0.05750043561
108	0.05725477499
109	0.05696584402
110	0.05664599666
111	0.05625285845
112	0.05580035523
113	0.0555564883
114	0.05528050971
115	0.05512161186
116	0.05489318233
117	0.05481506549
118	0.05450415185
119	0.05411349754
120	0.05376686952
121	0.05373671106
122	0.05353479365
123	0.0532813564
124	0.05303504129
125	0.05286540561
126	0.05257790311
127	0.05233603219
128	0.05201602975
129	0.05186559798
130	0.05169507542
131	0.05128655059
132	0.05113658344
133	0.0509223516
134	0.05067307834
135	0.05039934736
136	0.05010861419
137	0.049884294
138	0.04977213607
139	0.04971622367
140	0.0494676111
141	0.04941031843
142	0.04926798598
143	0.04922367107
144	0.04903593996
145	0.04880221825
146	0.04858003098
147	0.04829960564
148	0.04825571131
149	0.04807324086
150	0.04793554031
151	0.04779990312
152	0.04768986597
153	0.04762645042
